ID,Brand Name,Is in fragrance,Products,Products In Stock,URL
48,Kerastase,TRUE,136,92,https://www.beautyfeatures.ie/brands/Kerastase.html
49,Moroccanoil,TRUE,120,69,https://www.beautyfeatures.ie/brands/Moroccanoil.html
228,Caudalie,TRUE,68,55,https://www.beautyfeatures.ie/caudalie/
252,NUXE,TRUE,45,37,https://www.beautyfeatures.ie/nuxe/
237,Narciso Rodriguez,TRUE,11,9,https://www.beautyfeatures.ie/narciso-rodriguez/
235,Elie Saab,TRUE,7,7,https://www.beautyfeatures.ie/elie-saab/
262,Elle,TRUE,8,7,https://www.beautyfeatures.ie/elle/
259,Dolce & Gabbana,TRUE,17,6,https://www.beautyfeatures.ie/dolce-gabbana/
287,Yankee,TRUE,10,5,https://www.beautyfeatures.ie/yankee/
293,Ghost,TRUE,12,5,https://www.beautyfeatures.ie/ghost/
260,Issey Miyake,TRUE,13,3,https://www.beautyfeatures.ie/issey-miyake/
261,Ariana Grande,TRUE,16,3,https://www.beautyfeatures.ie/ariana-grande/
295,Michael Bublé,TRUE,2,2,https://www.beautyfeatures.ie/michael-buble/
282,Burberry,TRUE,1,1,https://www.beautyfeatures.ie/burberry/
284,Davidoff,TRUE,1,1,https://www.beautyfeatures.ie/davidoff/
294,Jennifer Lopez,TRUE,1,1,https://www.beautyfeatures.ie/jennifer-lopez/
281,Beyonce,TRUE,1,0,https://www.beautyfeatures.ie/beyonce/
283,Calvin Klein,TRUE,1,0,https://www.beautyfeatures.ie/calvin-klein/
285,Tommy Hilfiger,TRUE,1,0,https://www.beautyfeatures.ie/tommy-hilfiger/
286,Vera Wang,TRUE,1,0,https://www.beautyfeatures.ie/vera-wang/
